Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
HDFC Bank Doctor’s Regalia Credit Card,"Dining , Shopping","Rs. 1,000","Rs. 1,000","Enjoy 1,000 reward points as a welcome benefit on payment of the joining fee.",Earn 3 reward points on spend of every Rs.150,NA,NA,Get Professional Indemnity Insurance coverage worth up to Rs.20 Lakhs.,Enjoy 50% more reward points every time you dine out at a restaurant.,The earned points can be redeemed to get AirMiles where 667 Reward Points = 100 AirMiles. The reward points can also be redeemed for exclusive gifts listed in the reward catalog.,NA,NA,The cardholder shall not be liable for any fraudulent transaction made with the card post reporting the loss of card to the bank.,Spend Rs. 1 Lakh in a year and get waiver of next year’s annual membership fee,NA,3.5% on all international transactions,3.6% per month (43.2% per annum),Get 1% fuel surcharge on transactions between Rs. 400 and Rs. 5000 (max waiver capped at Rs. 250 per statement cycle),2.5% of the amount withdrawn (subject to a minimum of Rs. 500),NA,NA,NA
HDFC Bank Doctor’s Superia Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),Get 500 CashPoints as a welcome bonus.,2.5% cashback on all online purchases. 1% cashback on all offline purchases.,NA,NA,NA,NA,"1 CashPoint = Re. 1 for redemption against cash and product/vouchers, 1 CashPoint = Rs. 0.30 for redemption against flight/hotel bookings.",NA,NA,Zero Liability Protection is provided in the case of a lost/stolen card if reported to the HDFC Bank within 24 hours after losing the card.,"The joining fee is waived off on spending Rs. 20,000 or more within the first 90 days after receiving the card. Renewal fee waived off on spending Rs. 50,000 or more in the previous year.",Rs. 99 (plus applicable taxes),3.5% on all foreign currency transactions (plus applicable taxes),3.6% per month (43.2% per annum),"1% fuel surcharge is waived off for all fuel transactions between Rs. 400 and Rs. 5,000 (maximum benefit of Rs. 250 in a month).",2.5% of the amount transacted or Rs. 500 (whichever is higher),NA,NA,NA
HDFC Bank Easy EMI Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),500 CashPoints,"2 CashPoints for every Rs. 150 you spend on retail purchases, 5X CashPoints per EMI spends at select merchants, 10X CashPoints on partner brands.",NA,NA,NA,"Up to 15% off on dining at over 2,000 premium restaurants.","CashPoints redeemable for cashback, purchasing products, flight/hotel bookings via SmartBuy and partner airlines’ AirMiles",NA,NA,No liability for the cardholder towards the transactions done on a lost/stolen card if the issue is reported to the bank in a timely manner.,"Renewal fee waived off on spending Rs. 50,000 or more in the previous year",Rs. 99 per redemption request,3.5 % of the transacted amount,3.6% per month (or 43.2% annually),1% fuel surcharge waiver applicable on all fuel transactions,2.5% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,"For any emergency-related assistance related to your HDFC Bank MoneyBack Plus Credit Card, you can call on the 24*7 helpline number, which is 1800 266 4332.
To send your queries via email, contact the HDFC Bank credit card customer care at customerservices.cards@hdfcbank.com.",HDFC MoneyBack Plus Credit Card Activation & PIN Generation
HDFC Bank MoneyBack Plus Credit Card,"Travel , Dining , Shopping",Rs 500 (plus applicable taxes),Rs 500 (plus applicable taxes),Get 500 Cash Points.,"4 Reward Points on every Rs 150 spent online and 2 Reward Points on every other spent, reward rate of up to 0.67%.",NA,NA,NA,NA,1 Reward Point = Rs 0.20 for redemption against the statement balance. 1 Reward Point = Rs. 0.25  for redemption through Smartbuy Rewards portal,NA,NA,Zero Liability Protection cover is provided by the HDFC bank against fraudulent transactions on your credit card if the loss is reported immediately within a stipulated time to the 24-hour HDFC Customer helpline,"The joining fee is waived off on spending Rs. 20,000 or more within the first 90 days and the renewal fee is waived off on spending Rs. 50,000 in the previous year.",Rs. 99 per redemption request (plus applicable taxes),3.5% per currency conversion (plus applicable taxes),3.6% per month (43.2% per annum),1% fuel surcharge waiver on all your fuel transactions using this credit card at all petrol pumps across India,2.5% of the withdrawal amount subject to a minimum charge of Rs 500,NA,NA,NA
HDFC MoneyBack Credit Card,"Movies , Shopping",NA,NA,Complimentary Times Prime annual Membership and E-Vouchers Worth Rs. 5000.,"3 Reward Points on every spend of Rs 150
10 reward points on every weekday dining spent of Rs 150.",NA,NA,NA,50% discount (max Rs. 600 per transaction) on Movie Tickets booked on BookMyShow and complimentary membership for EazyDiner Prime for 6 months,You can redeem rewards by logging into your HDFC Bank net banking account and clicking on the reward redemption link.,NA,NA,Cardholder not liable for any fraudulent transaction on the card post reporting the loss of card to the bank,"Annual fee of Rs 1,000 waived off on annual spends of Rs. 2.5 lakhs or above.",Rs. 99 (plus applicable taxes) per redemption request,3.5% of the transaction amount (plus applicable taxes),3.6% per month (or 43.2% annually),"1% fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 5,000 (max waiver of Rs. 250 per month)",2.5% of the transaction fee subject to a minimum charge of Rs 500,NA,NA,NA
HDFC Platinum Times Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),500 Cash Points as a welcome benefit,"1 CashPoint per Rs. 150 spent on all categories, 5x Cash points on EMI transactions at merchant outlets, 10x Cash Points on Big Basket, Swiggy, BookMyShow, etc.",NA,NA,NA,"Up to 15% off on dining at over 2,000 restaurants.","1 CashPoint = Re. 0.15 for redemption against product catalog, SmartBuy, and cashback.",NA,NA,Cardholders shall not be liable for any fraudulent transaction made with the card post reporting the loss of the card to the bank.,"Renewal fee waived off if a minimum of Rs. 50,000 were spent in the previous year",Rs. 99 per redemption request (plus applicable taxes),3.5% on the conversion amount (plus applicable taxes),"3.6% per month (or 43.2% per annum), 0.99% for the first 90 days.","1% fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 5,000 (max waiver capped at Rs. 250 per month)",2.50% of the withdrawn amount (subject to a minimum charge of Rs. 500),NA,NA,NA
HDFC Bank Freedom Credit Card,"Movies , Dining , Shopping",NA,NA,Complimentary Times Prime Membership and E-Vouchers Worth Rs. 5000.,"5 Reward Points per Rs. 150 on dining spends on weekdays, 2 Reward Points per Rs. 150 on all other spends",NA,NA,NA,"Accelerated Reward Points (5 RPs/Rs. 150) on dining spends on weekdays, 25% off on movie tickets bookings on BookMyShow (max discount of Rs. 350 per transaction) and EazyDiner Prime Membership with dining discounts of 25% to 50%.","The accumulated Reward Points can be redeemed for products, gift vouchers and discounts via net banking or through post.",NA,NA,Cardholder shall not be liable for any fraudulent transaction done on the card post reporting the loss of card to the bank,Renewal fee waived off on expenditure of Rs. 1.5 lakh in an anniversary year,Rs. 99 per redemption request (plus applicable taxes),3.5% of the transaction amount (plus applicable taxes),3.6% per month (or 43.2% per annum),"1% fuel surcharge waiver for transactions between Rs. 400 and Rs. 5,000 at all fuel stations across India (maximum waiver capped at Rs. 250 per statement cycle)","2.50% or Rs. 500, whichever is higher.",NA,NA,NA
HDFC Bank Titanium Times Card,Shopping,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)",NA,"3 Reward Points per Rs. 150 spent and 6 Reward Points per Rs. 150 spent on shopping, mobile recharge, and hotel bookings.",NA,NA,NA,NA,The Reward Points you earn can be redeemed against various options from the HDFC Rewards catalog.,NA,NA,The cardholder will not be liable for any unauthorized transactions made on his/her card once the loss is reported to the bank.,"The joining fee is waived off on spending Rs. 15,000 or more within the first 90 days and the renewal fee is waived off if a minimum of Rs. 1 lakh were spent in the previous year",Rs. 99 on every redemption request (plus applicable taxes),3.5% on all foreign currency spends (plus applicable taxes),3.6% per month (or 43.2% per annum),1% fuel surcharge waiver on all fuel transactions above Rs. 400 (max waiver capped at Rs. 500),"2.5% of the amount withdrawn, subject to a minimum charge of Rs. 500",NA,NA,NA
HDFC Bank All Miles Credit Card,Shopping,Rs. 500 + GST,Rs. 500 + GST,A free wellness package from Thyrocare.,"3 Reward Points on every spend fo Rs. 150, and 50% more Reward points on dining & groceries.",NA,NA,NA,NA,1 Reward Point = Re. 0.20 for redemption against cashback.,NA,NA,You get zero liability protection against a lost/stolen card if the loss of the card has been reported to the bank in a timely manner.,"The annual fee is waived off on spending Rs. 50,000 or more in the previous year.",Rs. 99 on every redemption request.,3.5% on all foreign currency spends.,3.6% per month (43.2% annually),"1% fuel surcharge waiver on all fuel transactions between Rs. 400 and Rs. 5,000.",2.5% of the cash amount withdrawn or a minimum of Rs. 500.,NA,"The card offers an accelerated reward rate on dining. Therefore, it is suitable for those who dine out often and want an affordable credit card to save more on their dining spends.
The spend-based waiver is another great benefit of this card as one can avoid the annual fee of Rs. 1,000 just by spending Rs. 50,000 in the previous year.
Under the milestone benefits, cardholders can earn shopping vouchers worth up to Rs. 2,000 every year.",NA
HDFC Bank Solitaire Credit Card,Shopping,"Rs. 1,000 (plus applicable taxes)","Rs. 1,000 (plus applicable taxes)","1,000 bonus Reward Points",3 Reward Points on every spend of Rs. 150.,Complimentary Priority Pass membership.,NA,NA,Accelerated Reward Points on dining.,The earned Reward points can be redeemed against Airmiles at a rate of 1 RP = 0.7 Airmiles.,NA,NA,You will not be liable for any fraudulent transactions made on a lost/stolen card if you have reported the loss to the bank in a timely manner.,"Joining fee waived off on spending Rs. 15,000 within the first 90 days and the renewal fee waived off on spending Rs. 75,000 within one anniversary year.",Rs. 99 on every redemption request.,3.5% of the transaction amount,3.49% per month,"1% fuel surcharge waiver on all fuel transactions between Rs. 400 and Rs. 5,000.",2.5% of the withdrawn amount subject to a minimum of Rs. 500.,NA,NA,NA
HDFC Bank Superia Credit Card,Shopping,Rs. 500 + applicable taxes,Rs. 500 + applicable taxes,NA,"5% cashback every month on spending towards bill payments, and mobile recharge, fuel and railway tickets booked through IRCTC. 5% cashback every month while paying through PayZapp/EasyEMI/SmartBuy.",You get 5% cashback on booking railway tickets through IRCTC.,NA,Accidental death cover of up to Rs. 50 Lakhs,NA,The reward points can be redeemed as cash back at the request of the cardholder. 1 Reward Point = Re. 1,NA,NA,Cardholders will not be held liable for card loss/theft on informing the bank within the prescribed time frame,"Renewal fee waived off on spending Rs. 20,000 in previous year",Rs. 99,3.5% on the conversion amount,3.6% p.m. (43.2% p.a.),1% fuel surcharge waiver on minimum transaction of Rs. 400. The waiver is capped at Rs. 250 per billing cycle,2.5% or Rs. 500 whichever is higher,NA,NA,NA
HDFC Bank Bharat Credit Card,Shopping,NA,NA,NA,2 Reward Points on every spend of Rs. 150.,NA,NA,NA,Accelerated Reward Points on dining.,The earned Reward Points can be redeemed against cash at a rate of 1 RP = Re. 0.10.,NA,NA,The cardholder will not be liable for any fraudulent transactions made on a lost or stolen card if the loss has been reported lost to the bank in a timely manner.,"The renewal fee is waived off if you have spent Rs. 50,000 or more in the previous year.",Rs. 99 on every redemption request.,3.5% on all foreign currency spends.,3.49% per month,"1% fuel surcharge waiver on all fuel transactions between Rs. 400 and Rs. 5,000.",2.5% of the withdrawn amount subject to a minimum of Rs. 500.,NA,NA,NA
